gene_symbol,cluster,up_features,down_features,phenotypic_strength
DMAC1,149,"interphase_cell_phalloidin_mean,interphase_cell_correlation_tubulin_phalloidin",interphase_nucleus_correlation_dapi_gh2ax,3758/5299
GATC,149,,interphase_nucleus_correlation_dapi_gh2ax,4195/5299
KRAS,149,"interphase_cell_phalloidin_mean,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_gh2ax_mean,interphase_cell_correlation_dapi_tubulin,interphase_cell_dapi_mass_displacement,interphase_cell_area","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_solidity",2746/5299
LRPPRC,149,"interphase_cell_phalloidin_mean,interphase_nucleus_gh2ax_mean",,2807/5299
LSM11,149,,interphase_nucleus_correlation_dapi_gh2ax,4920/5299
MRPL18,149,"interphase_nucleus_gh2ax_mean,interphase_cell_phalloidin_mean",,3776/5299
MRPL55,149,"interphase_cell_phalloidin_mean,interphase_nucleus_gh2ax_mean",interphase_nucleus_correlation_dapi_gh2ax,3344/5299
MRPL57,149,interphase_cell_phalloidin_mean,,3198/5299
NDUFA6,149,interphase_cell_phalloidin_mean,,4152/5299
NDUFC1,149,,,4166/5299
NDUFV2,149,interphase_cell_phalloidin_mean,interphase_nucleus_correlation_dapi_gh2ax,3988/5299
NINL,149,,,4860/5299
RAD23B,149,"interphase_cell_correlation_dapi_tubulin,interphase_nucleus_area,interphase_cell_correlation_tubulin_phalloidin,interphase_cell_phalloidin_mean,interphase_cell_area","interphase_nucleus_dapi_mean,interphase_nucleus_correlation_dapi_gh2ax",3253/5299
SNAPC1,149,,"interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean",4649/5299
UBAC2,149,,,4931/5299
UQCRFS1,149,interphase_cell_phalloidin_mean,interphase_nucleus_correlation_dapi_gh2ax,4450/5299
AKIRIN2,167,"interphase_cell_phalloidin_mean,interphase_nucleus_gh2ax_mean,interphase_nucleus_solidity,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_area,interphase_nucleus_dapi_int,interphase_cell_area,interphase_cell_correlation_dapi_tubulin",interphase_nucleus_correlation_dapi_gh2ax,727/5299
POMP,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_int,interphase_nucleus_solidity,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",620/5299
PSMA1,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_int,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity,interphase_cell_eccentricity",244/5299
PSMA2,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_cell_correlation_tubulin_phalloidin,interphase_nucleus_dapi_int","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",226/5299
PSMA3,167,"interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_nucleus_dapi_int,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_gh2ax_mean","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_eccentricity",382/5299
PSMA4,167,"interphase_nucleus_gh2ax_mean,interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_int,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_eccentricity,interphase_nucleus_dapi_mean",211/5299
PSMA5,167,"interphase_nucleus_gh2ax_mean,interphase_nucleus_area,interphase_cell_area,interphase_cell_phalloidin_mean,interphase_nucleus_solidity,interphase_cell_correlation_dapi_tubulin,interphase_nucleus_dapi_int,interphase_cell_correlation_tubulin_phalloidin","interphase_nucleus_correlation_dapi_gh2ax,interphase_nucleus_dapi_mean,interphase_nucleus_eccentricity",220/5299
